,user_id,variant,send_time,content_layout,account_age,feature_usage,user_segment,open,click,convert,timestamp,device,engagement_score,day_of_week,hour_of_day,date
count,500000.0,500000,500000,500000,500000.0,500000.0,500000,500000.0,500000.0,500000.0,500000,500000,500000.0,500000,500000.0,500000
unique,,3,3,3,,,4,,,,,3,,7,,15
top,,C,morning,visual-heavy,,,active,,,,,mobile,,Saturday,,2023-04-01
freq,,170019,200574,199883,,,382829,,,,,275119,,71600,,35750
mean,250000.5,,,,182.597014,24.5133,,0.25752,0.070902,0.008,2023-04-08 02:43:53.421719552,,0.439324,,14.193042,
min,1.0,,,,1.0,0.0,,0.0,0.0,0.0,2023-04-01 08:00:00,,0.0,,8.0,
25%,125000.75,,,,93.0,12.0,,0.0,0.0,0.0,2023-04-04 14:28:36.750000128,,0.0,,10.0,
50%,250000.5,,,,183.0,25.0,,0.0,0.0,0.0,2023-04-08 08:00:46,,0.0,,14.0,
75%,375000.25,,,,272.0,37.0,,1.0,0.0,0.0,2023-04-11 14:32:48.249999872,,1.0,,18.0,
max,500000.0,,,,364.0,49.0,,1.0,1.0,1.0,2023-04-15 21:59:38,,8.0,,21.0,
std,144337.71163411005,,,,103.96566841992491,14.363314927958672,,0.4372686039569322,0.25666132966708377,0.08908431888928944,,,1.0334837004966342,,4.447020163903489,
